Tapeats 1,1 Sigma,Tapeats 2,1 Sigma,Lower Bright Angel,1 Sigma,Bright Angel,1 Sigma,Upper Bright Angel,1 Sigma,Temple Butte 1,1 Sigma,Temple Butte 3,1 Sigma,Surprise Canyon Conglomerate,1 Sigma,Surprise Canyon 06GC149,1 Sigma,Surprise Canyon 2,1 Sigma,Watahomigi,1 Sigma,Manacacha 1,1 Sigma,Basal Wescogame 06GC147,1 Sigma,Esplanade,1 Sigma,Esplanade 06GC156,1 Sigma,Esplanade 06GC155,1 Sigma,Lower Hermit,1 Sigma,Hermit,1 Sigma,Upper Hermit,1 Sigma,Coconino 1,1 Sigma,Coconino 2,1 Sigma,Toroweap 1,1 Sigma,Toroweap 2,1 Sigma,Kaibab,1 Sigma,Kaibab 2,1 Sigma
1453.252899,51.58084341,1677.816409,44.0350817,1704.764908,10.08106507,1662.541509,16.1040237,847.8286689,32.55030177,1658.583222,53.38626999,1362.508698,46.88819112,434.4398368,23.19002735,1419.617191,14.10607217,478.9574258,15.53971583,2756.495002,21.96771144,1813.219515,24.34709291,1831.465193,35.0160504,2741.59941,26.32765252,382.8231998,3.716778958,1041.390848,50.4792852,1803.409133,11.5699185,1133.950552,30.14897515,983.5858624,45.56276419,1083.036644,25.43130704,1496.80044,26.54772423,304.4430713,10.73155819,369.9842358,6.076691157,1461.191788,19.2741056,1066.846398,12.15836835
1006.213018,71.85128874,1666.083141,32.12352161,1754.778563,23.87708124,1779.712934,13.70897116,1459.735753,27.11800111,1815.803231,70.61790302,1703.922894,29.10587812,1315.169792,45.4650939,1645.266703,23.01379559,1880.632648,12.30131777,451.6615181,6.063216201,1626.90372,40.59488329,2237.618665,37.86852352,434.0080333,4.197206256,1409.055686,21.15738481,1677.79329,59.87075646,1810.953734,8.945652996,2688.608024,5.704083942,1369.315777,98.8395357,1212.401836,16.97686035,1063.864432,49.96508694,1279.913636,67.04616168,1043.017114,90.97660234,345.3336607,22.02425876,1462.346214,36.656818
1488.165715,34.11129988,1720.299948,47.81933938,1714.871049,37.4207878,1712.115889,18.97461288,2651.291504,17.60166616,1743.053897,56.09924775,1362.850059,34.13476408,1206.816049,21.19022856,1740.697985,31.30399537,1071.591084,26.28181585,2701.037497,18.53429442,1093.813848,41.10633845,1264.857155,48.84882,1874.780253,45.47568979,976.9789335,78.5039368,1637.842982,21.1760099,627.3662281,7.35849315,1708.719997,10.93391389,1337.193877,33.20633839,1435.264479,60.27003115,979.9148067,38.64274334,1774.511077,13.36389887,417.4280584,16.41056134,407.3450904,3.671103092,1631.564503,15.18888477
1728.432479,43.50994794,1442.461459,48.46824331,1454.177454,12.03886218,1664.250393,11.98780559,1021.332399,43.74507677,1496.050635,63.43771068,1712.872517,81.11648357,1060.499531,50.24661546,1775.427438,12.15632483,1186.722951,40.7367352,1820.716362,35.78841819,1475.261993,51.16381024,1994.685262,40.1002431,1656.284752,32.05174953,1106.214529,64.59629294,1668.923073,32.00585152,1633.33505,28.22245406,1745.255022,9.79779152,1198.816631,27.87812881,1506.357118,14.84502414,1421.782736,35.93187931,1132.43226,31.49339632,1779.813564,24.09831968,1203.665364,27.32033378,1223.290732,20.13587742
1479.634417,44.75154631,1203.709907,54.11042839,1762.319888,12.88525533,1459.913096,21.08860952,1866.548001,10.12171919,1457.020243,41.08447712,1701.511763,29.84785871,1358.184205,17.47139619,1995.35796,14.24309835,2776.098778,9.101443086,2759.325696,10.69800905,1011.539111,27.36610824,1562.775216,34.43695083,1850.469976,18.08209192,1427.134901,36.85511178,938.4768417,37.79390697,1060.22193,60.73784127,1647.776255,25.90287607,1974.446811,8.867264924,1748.397436,8.465546038,1087.052172,31.06948396,2648.041949,5.456778613,1062.208529,74.41306394,614.9430086,7.976728702,3452.006091,29.87474969
1564.647588,20.99438705,1447.413363,23.52055263,1766.159216,24.01668164,1431.724581,21.44436789,1710.655776,15.27434284,1684.117932,49.67282305,1431.784809,30.22083519,1275.304194,73.40384935,2012.949546,23.49566543,1072.701652,44.49932595,1718.265236,20.43338229,1628.262713,28.63447645,2538.276656,53.18043585,1133.37901,60.92113985,1621.529292,30.89232824,1200.202712,23.89214294,1878.749002,19.72138935,1840.173813,19.73655174,1152.062777,24.22452229,1784.039236,33.40765072,1232.691582,37.0902598,636.4806446,10.80405383,1680.937388,39.52362525,1057.301282,45.21540399,543.1533435,19.91702933
1723.589892,51.260871,1649.490014,42.61585766,1741.643555,11.60506839,1653.432919,15.29374559,1709.943944,19.53527828,1488.020318,49.86862358,1451.110029,20.40074523,1402.891819,69.237471,1102.321639,22.42794705,1454.6368,28.09008327,446.835358,7.986647268,1683.331947,22.9560056,1922.569624,27.55714502,1777.837735,23.17003758,1141.968738,32.43254701,1357.830969,22.33857191,723.5909386,34.03850923,1857.97845,22.10287691,1140.845224,10.55899598,443.6659751,14.71946375,1594.245879,34.36721608,1080.840126,22.59613865,1784.151513,46.53393219,1135.975451,91.64173783,1336.862991,44.97024616
1704.743596,34.4400369,1752.156545,35.87844606,1699.382776,24.30687835,1679.683326,31.91320309,1656.362937,17.52017328,1367.242202,37.35926883,1424.211737,25.01003445,1747.306494,12.54161206,3755.888508,5.290307991,1033.589256,27.50929326,2560.579194,71.35815032,1641.723981,27.68423033,1707.843116,38.84980935,412.4586315,9.628933967,1743.149769,34.08275665,1036.094595,30.63346648,1094.51576,32.45516844,1237.426608,15.4668932,1014.422821,29.27174906,1222.785434,12.10028398,1774.228901,22.81621874,1319.405602,25.11506312,2679.951756,31.44414131,1160.74326,58.74268483,1070.922062,39.30848551
1670.536688,20.35191117,1770.238062,40.01123827,1704.661275,23.70102562,1436.087999,20.10664741,1686.607054,12.85886375,1943.287289,42.9427152,1432.001471,100.9604214,1755.003731,3.800555366,1159.038155,38.2566998,450.1874396,26.01886298,1011.589589,27.58424655,1196.118118,36.50571784,1123.114482,60.47713317,1857.981475,47.33659025,1175.703012,44.12545097,1644.171195,29.68870669,1098.765379,98.95967218,1969.103909,10.41988448,476.4138668,31.02450622,2758.973489,2.267241494,1621.966208,33.94531253,2742.425873,4.908008273,1659.891089,34.64465821,3218.831717,26.21543798,1177.644394,49.13717427
1468.925788,20.90152441,1781.086233,44.10404836,1702.980614,25.39818349,1740.669113,11.25144801,1623.168627,68.28174162,1705.272506,42.93434651,1724.028439,29.95935102,1681.130788,9.930014458,1428.298794,13.25491146,1051.157396,18.15421975,1664.462723,42.25055136,1582.841595,19.31056748,1922.877697,43.95223133,1308.437538,61.35961726,402.4966353,7.218494444,1323.040108,41.65581606,1742.59907,19.0073354,1655.381292,15.99098001,1140.377005,18.25950399,1775.320152,8.341804042,955.9168271,55.68569378,1698.567548,57.19173707,1104.252903,38.29168585,2678.632125,14.40212197,336.9922268,11.40406744
