Mexican data set (Lawton et al. 2009),1 sigma,"Mogollon Highlands (Laskowski et al., 2013)",1 sigma,TSA3 Composite (May et al. 2013),1 sigma,Arc Laskowski et al. 2013,1 sigma,Mesozoic Eolianites,1 sigma,late Paleozoic Appalachian basin Washington Fm,1 sigma
72.4,1,72,0.9,64.24549288,2.850165442,45.7,0.6,250.1,2.5,1620.7,51.5
73.1,3.9,72.3,2.8,66.84827501,3.931987087,45.9,0.7,250.1,3.2,2219.3,52.9
73.3,0.7,73,1.4,67.33359139,3.371806296,45.9,0.9,250.2,19.5,314.5,13.1
76,1.1,75.1,1.4,71.94171064,6.14033326,46.5,1.4,251.1,5,348.5,11.6
76.5,1.4,76.2,0.8,74.75774113,6.94619268,46.6,0.7,251.2,5,354.9,10.3
76.6,1.2,77.5,1.5,75.70184568,3.150771664,46.7,0.7,253,4.5,364.8,28.4
77,1.4,77.9,7.7,76.03445246,4.733793354,46.8,0.7,253.5,9.3,373.6,16.7
77.5,0.8,78.3,1.2,78.35754784,2.221261253,46.9,1,253.8,3.3,384.4,7.1
77.9,0.8,78.5,1.4,85.23142165,4.173649032,46.9,1,255.4,5,388.7,20.8
79.4,1.6,79,3.2,87.07868619,4.551057258,47,0.7,256.5,2.4,393.2,21.5
80.4,1.2,79.3,2,90.22203546,4.891302202,47.1,1.3,259.4,5,396,15.8
84.1,1.2,79.5,1.2,90.88071648,4.122431852,47.3,0.5,260.8,2.7,421.7,16.8
88.6,1.1,80.4,1,90.89485186,3.845705407,47.3,1.8,261.3,3.5,424.8,16.2
90.6,0.9,83.4,0.4,91.89734054,2.755160643,47.4,0.9,261.6,4.2,432.2,27.4
90.7,0.9,84.3,1.9,92.15397451,4.160055095,47.5,1,262.5,4.3,444.6,14.8
91.9,1,84.3,1.1,92.65597775,1.634768087,47.5,0.7,265.6,2.8,541.4,60.3
92.2,0.9,84.4,0.4,95.32360415,2.88135065,47.5,0.9,266.1,3.6,564,20
96.6,2,84.5,3.3,95.61871788,1.17896569,47.6,0.5,268,4.5,649.9,13.3
96.7,2.4,86.1,2,97.12790837,5.110467783,47.8,0.5,268.4,3.6,676.7,58.8
97.3,1,86.3,4.2,140.7456582,3.964922442,47.9,0.7,269.2,5.2,713.9,18.3
97.6,1.9,86.9,0.7,150.4667097,3.72959598,47.9,0.9,272.7,2.8,729.2,71.5
98.7,1.4,87,1.7,365.8336069,9.937188897,47.9,0.5,272.7,6.7,745.2,11.9
99.4,1,88.2,2,373.5956222,16.82979767,47.9,0.4,273.4,3.1,778,11.3
107.9,1.1,88.4,1.4,418.9691669,8.403874253,47.9,0.6,274.4,3.7,895.5,38.3
108.2,1.3,89.1,2,484.1844244,11.54799911,48,0.3,278,9.4,909,20.5
112.5,1.1,90.2,1.6,639.6068991,13.46170971,48.2,0.6,280.4,4,921.4,41.4
114.3,1.9,91.3,1,1056.629371,23.92643494,48.3,0.3,281.5,4.9,931.7,13
129.9,3.3,91.9,2.5,1130.571166,21.93870282,48.3,1.5,283.4,15.4,945.2,14.7
130.5,5.1,91.9,1,1294.424295,27.90158021,48.3,0.5,286.1,5.9,952.3,22.3
131.8,1.4,93,2.2,1314.789019,26.32901655,48.4,0.7,287.2,8.6,953.4,45.7
132.1,2.8,93.9,1.6,1386.272783,6.344174597,48.4,0.4,289.1,4.7,964.6,61.5
134,2.3,94,1.8,1388.841635,39.12898035,48.4,0.8,289.4,6.8,997.3,36.4
134.7,1.3,94,2.8,1415.480222,19.75510742,48.6,3.5,291.8,3,1020.9,19.8
